FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
BBQ Paneer,Dinner,416.0,18.0,7.5,27.5,Vegetarian,1. Cube the BBQ Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,132
BBQ Bacon Strips,Breakfast,169.0,9.0,0.0,11.0,Non-Vegetarian,1. Prepare the BBQ Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,50
Avocado Toast,Breakfast,250.0,6.0,24.0,15.0,Vegetarian,1. Prepare the Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,81
BBQ Steak,Dinner,650.0,40.0,0.0,38.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the BBQ Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,196
Teriyaki Bacon Strips,Breakfast,162.5,9.5,0.0,10.0,Non-Vegetarian,1. Prepare the Teriyaki Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,49
Keto Boiled Eggs,Snack,126.0,13.2,0.2,18.0,Non-Vegetarian,1. Simply portion out your Keto Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,78
Lemon Pepper Tuna Sandwich,Lunch,408.0,29.4,35.0,15.0,Non-Vegetarian,1. Gather your Lemon Pepper Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,198
Garlic Mashed Potatoes,Dinner,231.0,4.2,36.0,8.8,Vegetarian,1. Gather your Garlic Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,122
Loaded Brown Rice,Lunch,344.0,6.5,67.5,1.8,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Loaded Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,190
Spicy Hummus & Carrots,Snack,157.5,5.0,19.8,8.4,Vegetarian,1. Simply portion out your Spicy Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,83
Spicy Sweet Potato,Dinner,115.5,2.0,28.6,0.0,Vegetarian,1. Gather your Spicy Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,76
Herb-Roasted Tuna Salad,Lunch,345.0,29.4,10.5,18.0,Non-Vegetarian,1. Gather your Herb-Roasted Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,145
Garlic Protein Smoothie,Breakfast,220.0,26.2,18.0,3.3,Vegetarian,1. Prepare the Garlic Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,119
Cheesy Rice Cakes,Snack,112.0,2.4,17.6,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Cheesy Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,50
Chicken Breast,Lunch,165.0,31.0,0.0,3.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,85
Herb-Roasted Baked Salmon,Dinner,517.5,36.8,10.5,33.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,202
Garlic Lentil Soup,Lunch,220.0,12.6,30.0,3.3,Vegetarian,1. Gather your Garlic Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,115
Steak and Rice,Dinner,600.0,40.0,45.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,275
Sweet & Sour Edamame,Snack,156.0,11.0,17.0,5.0,Vegetarian,1. Simply portion out your Sweet & Sour Edamame. 2. Store the rest in an airtight container for lasting freshness.,82
